Lineups,Games Played,Minutes,OFF RTG,DEF RTG,NET RTG,AST%,AST:TO,AST Ratio,OREB%,DREB%,REB%,eFG%,TS%,PPP,Tempo
"Smith, Loyer, Morton, Furst, Edey",20,227,109.19,92.05,17.14,61.33,1.64,17.84,40.11,81.97,61.1,50.45,53.31,1.09,63.26
"Smith, Loyer, Morton, Kaufman-Renn, Edey",3,17,116.13,110.71,5.420000000000002,58.33,1.17,18.5,16.67,76.92,57.89,62.5,72.46,1.16,72.94
"Jenkins, Loyer, Newman, Kaufman-Renn, Edey",6,16,96.15,78.26,17.89,54.55,1.2,14.84,60.0,100.0,77.78,41.38,42.46,0.96,65.0
"Jenkins, Newman, Waddell, Furst, Kaufman-Renn",3,8,161.54,78.57,82.97,57.14,4.0,23.87,0.0,71.43,50.0,85.0,89.29,1.62,65.0
"Smith, Newman, Waddell, Furst, Kaufman-Renn",1,2,100.0,166.67,-66.66999999999999,50.0,1.0,17.01,0.0,0.0,0.0,50.0,51.23,1.0,100.0
"Smith, Morton, Waddell, Furst, Edey",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,40.0
"Smith, Loyer, Morton, Waddell, Edey",1,1,0.0,200.0,-200.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
"Smith, Loyer, Newman, Kaufman-Renn, Edey",5,9,120.0,66.67,53.33,83.33,5.0,24.9,16.67,87.5,57.14,50.0,59.68,1.2,66.67
"Jenkins, Loyer, Newman, Waddell, Edey",1,0,0.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
"Jenkins, Newman, Morton, Waddell, Edey",1,1,0.0,300.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jenkins, Loyer, Newman, Furst, Edey",6,9,86.67,120.0,-33.33,50.0,0.67,10.99,60.0,83.33,72.73,40.91,49.24,0.87,66.67
"Smith, Newman, Waddell, Kaufman-Renn, Edey",1,1,33.33,0.0,33.33,0.0,0.0,0.0,0.0,100.0,50.0,0.0,34.72,0.33,120.0
"Smith, Newman, Morton, Furst, Kaufman-Renn",2,5,42.86,77.78,-34.92,0.0,0.0,0.0,0.0,80.0,40.0,0.0,23.73,0.43,56.0
"Jenkins, Morton, Waddell, Kaufman-Renn, Edey",1,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.64,1.0,40.0
"Jenkins, Morton, Waddell, Furst, Kaufman-Renn",2,3,175.0,166.67,8.330000000000013,33.33,1.0,17.01,100.0,40.0,50.0,75.0,71.72,1.75,53.33
"Smith, Jenkins, Newman, Kaufman-Renn, Edey",2,5,125.0,77.78,47.22,66.67,2.0,18.59,25.0,83.33,60.0,42.86,57.08,1.25,64.0
"Jenkins, Morton, Waddell, Furst, Edey",1,1,200.0,0.0,200.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,2.0,40.0
"Jenkins, Loyer, Morton, Furst, Edey",9,28,100.0,90.91,9.090000000000003,68.75,1.57,17.38,47.83,73.08,61.22,41.25,47.48,1.0,61.43
"Jenkins, Newman, Morton, Kaufman-Renn, Edey",1,6,111.11,120.0,-8.89,75.0,3.0,22.52,28.57,100.0,50.0,62.5,53.65,1.11,60.0
"Jenkins, Loyer, Newman, Morton, Edey",2,1,0.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jenkins, Loyer, Waddell, Morton, Edey",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
"Smith, Jenkins, Loyer, Furst, Edey",2,6,57.14,100.0,-42.86,50.0,0.5,11.26,50.0,75.0,66.67,40.0,34.01,0.57,46.67
"Smith, Loyer, Newman, Morton, Edey",2,12,83.33,90.48,-7.150000000000006,33.33,0.25,4.7,33.33,53.85,45.45,27.27,46.07,0.83,60.0
"Smith, Newman, Morton, Furst, Edey",6,11,88.89,85.71,3.180000000000007,66.67,0.67,9.21,27.27,100.0,57.89,27.27,47.85,0.89,65.45
"Smith, Newman, Morton, Gills, Kaufman-Renn",1,3,166.67,100.0,66.66999999999999,100.0,1.0,17.01,66.67,0.0,40.0,37.5,51.23,1.67,40.0
"Jenkins, Loyer, Newman, Gillis, Kaufman-Renn",10,21,102.78,132.35,-29.569999999999993,30.77,0.57,9.43,25.0,72.73,47.83,53.7,58.92,1.03,68.57
"Jenkins, Loyer, Morton, Gillis, Edey",3,5,22.22,62.5,-40.28,100.0,0.17,7.69,75.0,80.0,77.78,16.67,16.67,0.22,72.0
"Smith, Loyer, Morton, Gillis, Edey",17,108,118.23,90.96,27.27000000000001,60.76,1.55,19.09,38.36,83.72,62.89,59.42,62.04,1.18,67.04
"Smith, Loyer, Newman, Furst, Kaufman-Renn",4,10,136.84,88.89,47.95,66.67,2.0,23.81,16.67,66.67,41.67,82.14,80.25,1.37,76.0
"Smith, Loyer, Morton, Furst, Kaufman-Renn",3,8,136.36,86.67,49.69000000000001,66.67,1.33,25.0,25.0,46.15,41.18,83.33,83.33,1.36,55.0
"Smith, Loyer, Newman, Gillis, Kaufman-Renn",6,7,109.09,91.67,17.42,50.0,1.0,15.67,0.0,100.0,50.0,57.14,68.49,1.09,62.86
"Smith, Loyer, Newman, Gillis, Edey",9,48,92.86,102.56,-9.700000000000003,53.57,0.88,13.26,43.59,72.0,54.69,46.27,48.1,0.93,70.0
"Smith, Jenkins, Newman, Gillis, Edey",11,19,100.0,107.14,-7.140000000000001,54.55,1.5,14.72,37.5,100.0,61.54,44.83,48.76,1.0,63.16
"Smith, Jenkins, Newman, Gillis, Kaufman-Renn",8,17,122.22,100.0,22.22,22.22,1.0,6.05,54.55,69.23,62.5,50.0,56.82,1.22,63.53
"Smith, Jenkins, Morton, Furst, Kaufman-Renn",4,4,66.67,100.0,-33.33,50.0,1.0,13.66,25.0,100.0,57.14,40.0,31.65,0.67,60.0
"Jenkins, Loyer, Newman, Gillis, Edey",10,24,100.0,77.27,22.730000000000004,50.0,0.73,13.76,37.5,80.0,63.41,56.06,58.73,1.0,76.67
"Jenkins, Newman, Morton, Furst, Edey",5,12,111.76,105.56,6.200000000000003,62.5,2.5,19.08,45.45,66.67,52.94,50.0,49.48,1.12,56.67
"Smith, Newman, Morton, Gillis, Edey",8,16,100.0,108.0,-8.0,75.0,3.0,17.73,28.57,69.23,48.15,42.86,48.37,1.0,62.5
"Smith, Jenkins, Morton, Gillis, Edey",5,14,120.83,107.41,13.420000000000002,80.0,1.6,24.33,12.5,61.54,42.86,71.05,72.94,1.21,68.57
"Smith, Jenkins, Loyer, Furst, Kaufman-Renn",2,4,100.0,157.14,-57.139999999999986,100.0,1.0,23.7,33.33,100.0,60.0,75.0,67.57,1.0,60.0
"Smith, Jenkins, Morton, Gillis, Kaufman-Renn",4,9,92.31,100.0,-7.689999999999998,50.0,1.0,13.55,0.0,100.0,55.56,50.0,55.76,0.92,57.78
"Smith, Loyer, Newman, Furst, Edey",8,18,135.48,103.57,31.909999999999997,78.57,5.5,24.29,38.46,66.67,53.57,57.41,65.06,1.35,68.89
"Smith, Newman, Morton, Gillis, Kaufman-Renn",3,4,83.33,166.67,-83.33999999999999,50.0,1.0,13.44,33.33,0.0,33.33,40.0,45.96,0.83,60.0
"Jenkins, Loyer, Newman, Furst, Kaufman-Renn",7,12,90.0,52.63,37.37,50.0,0.6,13.79,0.0,100.0,61.54,58.33,65.41,0.9,66.67
"Jenkins, Newman, Morton, Gillis, Edey",5,8,50.0,120.0,-70.0,0.0,0.0,0.0,0.0,75.0,46.15,20.0,41.67,0.5,60.0
"Smith, Jenkins, Loyer, Gillis, Edey",3,7,173.33,44.44,128.89000000000001,100.0,9.0,38.79,0.0,55.56,45.45,95.45,98.48,1.73,85.71
"Morton, Loyer, Newman, Furst, Edey",1,0,0.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Smith, Jenkins, Newman, Furst, Edey",6,10,125.0,137.5,-12.5,66.67,1.33,17.33,57.14,66.67,61.54,53.85,62.19,1.25,64.0
"Jenkins, Newman, Morton, Gillis, Kaufman-Renn",3,4,71.43,100.0,-28.569999999999993,50.0,0.5,10.59,40.0,100.0,62.5,41.67,38.82,0.71,70.0
"Jenkins, Newman, Waddell, Gillis, Kaufman-Renn",2,4,75.0,120.0,-45.0,100.0,0.5,14.29,66.67,100.0,80.0,37.5,37.5,0.75,40.0
"Jenkins, Newman, Barrett, Waddell, Kaufman-Renn",1,1,0.0,133.33,-133.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
"Smith, Loyer, Newman, Morton, Furst",3,1,175.0,100.0,75.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,113.64,1.75,160.0
"Jenkins, Loyer, Morton, Gillis, Kaufman-Renn",4,6,108.33,160.0,-51.67,40.0,0.67,13.97,33.33,100.0,50.0,62.5,69.74,1.08,80.0
"Smith, Loyer, Morton, Gillis, Kaufman-Renn",4,8,138.46,141.67,-3.2099999999999795,71.43,1.67,28.67,0.0,66.67,50.0,100.0,95.34,1.38,65.0
"Smith, Loyer, Newman, Morton, Gillis",3,0,125.0,150.0,-25.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,94.7,1.25,160.0
"Jenkins, Newman, Morton, Gillis, Furst",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Smith, Jenkins, Morton, Furst, Edey",3,6,100.0,75.0,25.0,100.0,1.33,28.57,33.33,80.0,62.5,64.29,64.29,1.0,60.0
"Smith, Jenkins, Loyer, Morton, Gillis",1,0,0.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jenkins, Loyer, Morton, Furst, Kaufman-Renn",3,6,55.56,72.73,-17.17,50.0,0.33,9.58,33.33,50.0,44.44,33.33,38.82,0.56,60.0
"Smith, Jenkins, Morton, Kaufman-Renn, Edey",1,1,133.33,250.0,-116.66999999999999,100.0,1.0,30.12,0.0,0.0,0.0,100.0,86.21,1.33,120.0
"Smith, Jenkins, Newman, Gillis, Furst",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Smith, Newman, Morton, Gillis, Furst",1,0,0.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Smith, Jenkins, Newman, Furst, Kaufman-Renn",2,4,100.0,83.33,16.67,100.0,2.0,28.57,0.0,66.67,40.0,62.5,62.5,1.0,50.0
"Martin, Barrett, Waddell, King, Kaufman-Renn",1,2,100.0,133.33,-33.33000000000001,33.33,0.5,14.29,0.0,66.67,66.67,75.0,75.0,1.0,120.0
"Smith, Jenkins, Loyer, Kaufman-Renn, Edey",1,1,33.33,0.0,33.33,0.0,0.0,0.0,33.33,100.0,60.0,0.0,14.53,0.33,120.0
"Jenkins, Loyer, Morton, Kaufman-Renn, Edey",1,1,250.0,33.33,216.67000000000002,50.0,1.0,33.33,0.0,50.0,50.0,125.0,125.0,2.5,80.0
"Jenkins, Newman, Morton, Furst, Kaufman-Renn",1,0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
